201213,10006,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,2002,SESA2002,A,Active,A,Active,Aerodynamics,Aerodynamics,S1,"Semester 1",10,Y,UG100,"Undergraduate 0 - 100",,,70,70,0,Y
201213,10007,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,2003,SESA2003,A,Active,A,Active,"Dynamics & Control","Dynamics & Control",S2,"Semester 2",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10008,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,2004,SESA2004,A,Active,A,Active,Aerothermodynamics,Aerothermodynamics,S2,"Semester 2",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10009,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,2005,SESA2005,A,Active,A,Active,Propulsion,Propulsion,S2,"Semester 2",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10012,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,2008,SESA2008,A,Active,A,Active,"Aircraft Structures","Aircraft Structures",S1,"Semester 1",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10014,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,3001,SESA3001,A,Active,A,Active,"Structural Design","Structural Design",S2,"Semester 2",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10016,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,3003,SESA3003,A,Active,A,Active," Applied Aerodynamics"," Applied Aerodynamics",S1,"Semester 1",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10018,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,3005,SESA3005,A,Active,A,Active,Astronautics,Astronautics,1,"Full Academic Year",20,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10020,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,3007,SESA3007,A,Active,A,Active,"Aircraft Propulsion","Aircraft Propulsion",1,"Full Academic Year",20,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
201213,10021,201213,F2,"Engineering & the Environment",KK,"Engineering Sciences",SESA,3008,SESA3008,A,Active,A,Active,"Aircraft Dynamics","Aircraft Dynamics",S1,"Semester 1",10,Y,UG100,"Undergraduate 0 - 100",,,1,1,0,N
